digital_code,letter code,units,currency_name,rate
36,AUD,1,Австралийский доллар,65.0197
944,AZN,1,Азербайджанский манат,55.5914
51,AMD,100,Армянских драмов,24.4086
933,BYN,1,Белорусский рубль,29.0589
975,BGN,1,Болгарский лев,53.5675
986,BRL,1,Бразильский реал,17.3347
348,HUF,100,Венгерских форинтов,26.2362
410,KRW,1000,Вон Республики Корея,72.3126
704,VND,10000,Вьетнамских донгов,39.2236
344,HKD,1,Гонконгский доллар,12.1958
981,GEL,1,Грузинский лари,34.5996
208,DKK,1,Датская крона,14.0483
784,AED,1,Дирхам ОАЭ,25.7333
840,USD,1,Доллар США,94.5054
978,EUR,1,Евро,104.4481
818,EGP,10,Египетских фунтов,19.5378
356,INR,10,Индийских рупий,11.2755
360,IDR,10000,Индонезийских рупий,62.1582
398,KZT,100,Казахстанских тенге,19.6841
124,CAD,1,Канадский доллар,69.9833
634,QAR,1,Катарский риал,25.963
417,KGS,10,Киргизских сомов,11.1973
156,CNY,1,Китайский юань,13.3914
498,MDL,10,Молдавских леев,54.2256
554,NZD,1,Новозеландский доллар,59.4344
934,TMT,1,Новый туркменский манат,27.0015
578,NOK,10,Норвежских крон,89.3128
985,PLN,1,Польский злотый,24.3621
946,RON,1,Румынский лей,21.0236
960,XDR,1,СДР (специальные права заимствования),127.6286
941,RSD,100,Сербских динаров,89.3276
702,SGD,1,Сингапурский доллар,73.4308
972,TJS,10,Таджикских сомони,88.7083
764,THB,10,Таиландских батов,28.9769
949,TRY,10,Турецких лир,27.6692
860,UZS,10000,Узбекских сумов,74.1801
980,UAH,10,Украинских гривен,22.9117
826,GBP,1,Фунт стерлингов Соединенного королевства,125.5882
203,CZK,10,Чешских крон,41.3283
752,SEK,10,Шведских крон,92.5968
756,CHF,1,Швейцарский франк,111.6689
710,ZAR,10,Южноафриканских рэндов,54.3656
392,JPY,100,Японских иен,65.6835
